,model,item_id,prediction_date,ts,value,sell_price,daily_revenue,sell_price_w_disount,value_increase,value_w_disount,daily_revenue_w_disount
0,Naive weekly,FOODS_3_587,2011-11-30,2011-11-30,344.0,2.6426158038146923,909.0598365122542,1.5855694822888153,0.6000000000000001,550.4000000000001,872.6974430517641
1,Naive weekly,FOODS_3_252,2011-11-30,2011-11-30,299.0,1.4800000000000073,442.5200000000022,1.3320000000000065,0.15000000000000002,343.85,458.00820000000226
2,Naive weekly,FOODS_3_555,2011-11-30,2011-11-30,373.0,1.5416621253405955,575.0399727520421,1.0791634877384169,0.44999999999999996,540.85,583.6655723433228
3,Naive weekly,FOODS_3_586,2011-11-30,2011-11-30,511.0,1.541852861035419,787.8868119890991,1.541852861035419,0.0,511.0,787.8868119890991
4,Naive weekly,FOODS_3_090,2011-11-30,2011-11-30,2221.0,1.344863760217981,2986.942411444136,0.9414046321525866,0.44999999999999996,3220.45,3031.746547615797
5,Naive weekly,FOODS_3_587,2011-12-01,2011-12-01,194.0,2.6426158038146923,512.6674659400503,2.3783542234332233,0.15000000000000002,223.1,530.6108272479521
6,Naive weekly,FOODS_3_252,2011-12-01,2011-12-01,384.0,1.4800000000000073,568.3200000000028,1.4800000000000073,0.0,384.0,568.3200000000028
7,Naive weekly,FOODS_3_555,2011-12-01,2011-12-01,442.0,1.5416621253405955,681.4146594005432,1.5416621253405955,0.0,442.0,681.4146594005432
8,Naive weekly,FOODS_3_586,2011-12-01,2011-12-01,748.0,1.541852861035419,1153.3059400544935,1.541852861035419,0.0,748.0,1153.3059400544935
9,Naive weekly,FOODS_3_090,2011-12-01,2011-12-01,1249.0,1.344863760217981,1679.7348365122582,1.344863760217981,0.0,1249.0,1679.7348365122582
10,Naive weekly,FOODS_3_587,2011-12-02,2011-12-02,292.0,2.6426158038146923,771.6438147138902,2.6426158038146923,0.0,292.0,771.6438147138902
11,Naive weekly,FOODS_3_252,2011-12-02,2011-12-02,602.0,1.4800000000000073,890.9600000000044,1.4800000000000073,0.0,602.0,890.9600000000044
12,Naive weekly,FOODS_3_555,2011-12-02,2011-12-02,607.0,1.5416621253405955,935.7889100817415,1.2333297002724766,0.30000000000000004,789.1,973.2204664850113
13,Naive weekly,FOODS_3_586,2011-12-02,2011-12-02,1147.0,1.541852861035419,1768.5052316076255,1.541852861035419,0.0,1147.0,1768.5052316076255
14,Naive weekly,FOODS_3_090,2011-12-02,2011-12-02,640.0,1.344863760217981,860.7128065395078,1.344863760217981,0.0,640.0,860.7128065395078
15,Naive weekly,FOODS_3_587,2011-12-03,2011-12-03,335.0,2.6426158038146923,885.2762942779219,2.6426158038146923,0.0,335.0,885.2762942779219
16,Naive weekly,FOODS_3_252,2011-12-03,2011-12-03,234.0,1.4800000000000073,346.3200000000017,1.4800000000000073,0.0,234.0,346.3200000000017
17,Naive weekly,FOODS_3_555,2011-12-03,2011-12-03,299.0,1.5416621253405955,460.95697547683807,1.0791634877384169,0.44999999999999996,433.54999999999995,467.8713301089906
