,item_id,prediction_date,ts,model,value,runtime,sell_price,daily_revenue,disount,sell_price_w_disount,value_increase,value_w_disount,daily_revenue_w_disount,daily_profit,daily_profit_w_disount,value_fact,daily_profit_fact,value_w_disount_fact,daily_profit_w_disount_fact,inventory_left,final_profit_w_discount,final_profit_base_price
0,FOODS_3_252,2013-03-02,2013-03-02,Naive daily,288.0,1.5663683414459229,1.4800000000000002,426.24000000000007,0.2,1.1840000000000002,0.6000000000000001,460.8,545.5872,340.9920000000001,409.19040000000007,390.0,461.76000000000005,624.0,554.1120000000001,-163.2,360.8832000000001,220.22400000000002
1,FOODS_3_252,2013-03-02,2013-03-02,Naive weekly,360.0,1.5364913940429688,1.4800000000000002,532.8000000000001,0.2,1.1840000000000002,0.6000000000000001,576.0,681.9840000000002,426.24000000000007,511.48800000000006,390.0,461.76000000000005,624.0,554.1120000000001,-48.0,497.2800000000001,390.72
2,FOODS_3_252,2013-03-02,2013-03-02,Regression_2lags,290.1277712098551,0.9701766967773438,1.4800000000000002,429.3891013905856,0.3,1.036,0.8999999999999999,551.2427652987246,571.0875048494787,343.5112811124685,407.91964632105623,390.0,461.76000000000005,741.0,548.34,-189.75723470127537,351.75150484947875,180.91929264211245
3,FOODS_3_252,2013-03-02,2013-03-02,Regression_7lags,359.00957908553994,1.022989273071289,1.4800000000000002,531.3341770465992,0.3,1.036,0.8999999999999999,682.1182002625259,706.6744554719768,425.06734163727936,504.76746819426916,390.0,461.76000000000005,741.0,548.34,-58.881799737474125,487.33845547197683,374.61493638853835
4,FOODS_3_252,2013-03-02,2013-03-02,Regression_14lags,372.3033446179153,0.9449043273925781,1.4800000000000002,551.0089500345147,0.2,1.1840000000000002,0.6000000000000001,595.6853513886645,705.2914560441789,440.80716002761176,528.9685920331341,390.0,461.76000000000005,624.0,554.1120000000001,-28.314648611335542,520.5874560441788,419.8543200552234
5,FOODS_3_252,2013-03-02,2013-03-02,Regression_28lags,156.70163497219374,1.00728440284729,1.4800000000000002,231.91841975884677,0.1,1.3320000000000003,0.30000000000000004,203.71212546385186,271.34455111785076,185.53473580707742,211.0457619805506,390.0,461.76000000000005,507.0,525.2520000000002,-303.28787453614814,121.27255111785075,12.893945686500729
6,FOODS_3_252,2013-03-02,2013-03-02,LGBM_2lags,302.3641742746608,0.9903426170349121,1.4800000000000002,447.498977926498,0.2,1.1840000000000002,0.6000000000000001,483.7826788394573,572.7986917459175,357.99918234119843,429.5990188094381,390.0,461.76000000000005,624.0,554.1120000000001,-140.21732116054272,388.09469174591743,254.2383646823968
7,FOODS_3_252,2013-03-02,2013-03-02,LGBM_7lags,305.4416333503377,1.077195167541504,1.4800000000000002,452.0536173584999,0.2,1.1840000000000002,0.6000000000000001,488.70661336054036,578.6286302188798,361.6428938867999,433.9714726641599,390.0,461.76000000000005,624.0,554.1120000000001,-135.29338663945964,393.9246302188799,261.52578777359975
8,FOODS_3_252,2013-03-02,2013-03-02,LGBM_14lags,328.9990823143134,1.0307033061981201,1.4800000000000002,486.9186418251839,0.6,0.5920000000000001,1.7999999999999998,921.1974304800774,545.3488788442058,389.5349134601471,272.6744394221029,390.0,461.76000000000005,1092.0,323.232,-170.8025695199226,222.11687884420581,208.97219711051457
9,FOODS_3_252,2013-03-02,2013-03-02,LGBM_28lags,243.6875,1.039705753326416,1.4800000000000002,360.6575,0.2,1.1840000000000002,0.6000000000000001,389.90000000000003,461.6416000000001,288.52600000000007,346.23120000000006,390.0,461.76000000000005,624.0,554.1120000000001,-234.09999999999997,276.9376000000001,115.29200000000003
